,Title,Links
0,African Games 3,/Sports/Events/African_Games/
1,Asian Games 1,/Sports/Events/Asian_Games/
2,Can-Amera Games 0,/Sports/Events/Can-Amera_Games/
3,Commonweal­th Games 21,/Sports/Events/Commonwealth_Games/
4,East Asian Games 0,/Sports/Events/East_Asian_Games/
5,Goodwill Games 1,/Sports/Events/Goodwill_Games/
6,Island Games 2,/Sports/Events/Island_Games/
7,Mediterran­ean Games 1,/Sports/Events/Mediterranean_Games/
8,Olympics 737,/Sports/Events/Olympics/
9,South Asian Games 0,/Sports/Events/South_Asian_Games/
10,Dubai 5,/sports/machine learning events/ai games/
